"filename", "language", "Dart", "XML", "comment", "blank", "total"
"/Users/user/Documents/Dev/nuprojects/stream/lib/assets/icons/google.svg", "XML", 0, 13, 0, 1, 14
"/Users/user/Documents/Dev/nuprojects/stream/lib/core/constants/constants.dart", "Dart", 24, 0, 4, 6, 34
"/Users/user/Documents/Dev/nuprojects/stream/lib/core/constants/firebase_constants.dart", "Dart", 10, 0, 0, 1, 11
"/Users/user/Documents/Dev/nuprojects/stream/lib/core/enums/enums.dart", "Dart", 4, 0, 10, 2, 16
"/Users/user/Documents/Dev/nuprojects/stream/lib/core/providers/firebase_provider.dart", "Dart", 9, 0, 0, 1, 10
"/Users/user/Documents/Dev/nuprojects/stream/lib/core/providers/storage_repository_provider.dart", "Dart", 38, 0, 0, 8, 46
"/Users/user/Documents/Dev/nuprojects/stream/lib/core/type_defs.dart", "Dart", 6, 0, 8, 3, 17
"/Users/user/Documents/Dev/nuprojects/stream/lib/core/utils.dart", "Dart", 15, 0, 0, 3, 18
"/Users/user/Documents/Dev/nuprojects/stream/lib/features/auth/controller/auth_controller.dart", "Dart", 57, 0, 4, 11, 72
"/Users/user/Documents/Dev/nuprojects/stream/lib/features/auth/repository/auth_repository.dart", "Dart", 84, 0, 1, 15, 100
"/Users/user/Documents/Dev/nuprojects/stream/lib/features/auth/views/login_view.dart", "Dart", 36, 0, 11, 5, 52
